policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1127,State Higher Education Education Reform 93,Secondary,West Bengal,2025,Students,Proposed,1.46,"Ministry of Education, Local NGOs",0.218,"Policy to enhance infrastructure and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase infrastructure score by 26% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance infrastructure and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase infrastructure score by 26% within 1 years and reduce disparities between rural and urban areas. Timeline set. Focus on equity."
P1128,National Vocational Education Reform 12,Primary,Maharashtra,2020,Rural Students,Under Review,10.74,"State Education Department, Private Partners",0.671,A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Rural Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Rural Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation."
P1129,National Primary Education Reform 18,Primary,Punjab,2021,Rural Students,Pilot,83.29,"State Education Department, Private Partners",0.347,"Policy to enhance learning outcomes and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement.","Train 269 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and assessment quality using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Train 269 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Focus on equity."
P1130,National Vocational Education Reform 50,Primary,Uttar Pradesh,2022,Disadvantaged Groups,Proposed,4.94,"Teachers' Unions, Community Leaders",0.217,This policy aims to improve early childhood development in Primary by providing curriculum reform across Uttar Pradesh. It focuses on rural accessibility.,"Train 3908 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve early childhood development in Primary by providing curriculum reform across Uttar Pradesh. It focuses on rural accessibility. Goals: Train 3908 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity."
P1131,National Vocational Education Reform 65,Higher Education,Rajasthan,2021,Urban Students,Pilot,3.38,"EdTech Companies, Universities",0.648,A nationwide/state-level initiative to strengthen teacher quality through grants to schools. Targets Urban Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen teacher quality through grants to schools. Targets Urban Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined."
P1132,District Vocational Education Reform 94,Secondary,Karnataka,2018,Students,Pilot,2.54,"EdTech Companies, Universities",0.149,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Students and aims to improve retention.,"Train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Students and aims to improve retention. Goals: Train 1028 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned."
P1133,District Higher Education Education Reform 22,Higher Education,Tamil Nadu,2019,Disadvantaged Groups,Proposed,2.01,"Central Government, Donors",0.342,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Disadvantaged Groups and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined."
P1134,National Higher Education Education Reform 99,Primary,Punjab,2025,Disadvantaged Groups,Proposed,16.11,"Ministry of Education, Local NGOs",0.139,"Policy to enhance learning outcomes and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation."
P1135,State Secondary Education Reform 54,Higher Education,Delhi,2016,Women,Under Review,2.76,"Ministry of Education, Local NGOs",0.26,"Policy to enhance early childhood development and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 3860 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 3860 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Budget allocations defined."
P1136,National Higher Education Education Reform 73,Higher Education,Punjab,2018,Urban Students,Under Review,0.5,"State Education Department, Private Partners",0.752,"Policy to enhance early childhood development and community participation using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance early childhood development and community participation using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined."
P1137,National Vocational Education Reform 95,Higher Education,Maharashtra,2018,Women,Implemented,0.3,"Ministry of Education, Local NGOs",0.966,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Women and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Women and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Stakeholder consultations planned."
P1138,National Early Childhood Education Reform 18,Vocational,Maharashtra,2024,Women,Proposed,0.36,"State Education Department, Private Partners",0.311,This policy aims to improve teacher quality in Vocational by providing digital device distribution across Maharashtra. It focuses on urban inclusion.,Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Vocational by providing digital device distribution across Maharashtra. It focuses on urban inclusion. Goals: Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.
P1139,National Primary Education Reform 22,Vocational,Gujarat,2020,Urban Students,Proposed,97.17,"State Education Department, Private Partners",0.502,This policy aims to improve digital access in Vocational by providing digital device distribution across Gujarat. It focuses on marginalized communities.,Increase digital access score by 7% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Vocational by providing digital device distribution across Gujarat. It focuses on marginalized communities. Goals: Increase digital access score by 7% within 2 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined.
P1140,State Early Childhood Education Reform 7,Higher Education,Delhi,2017,Students,Pilot,0.32,"EdTech Companies, Universities",0.322,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Students and aims to improve retention.,"Train 147 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Students and aims to improve retention. Goals: Train 147 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Stakeholder consultations planned."
P1141,District Higher Education Education Reform 10,Primary,Maharashtra,2018,Disadvantaged Groups,Pilot,6.38,"Teachers' Unions, Community Leaders",0.209,This policy aims to improve digital access in Primary by providing grants to schools across Maharashtra. It focuses on gender equity.,"Train 3285 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Primary by providing grants to schools across Maharashtra. It focuses on gender equity. Goals: Train 3285 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Includes evaluation."
P1142,State Higher Education Education Reform 58,Secondary,Karnataka,2024,Women,Implemented,59.91,"EdTech Companies, Universities",0.526,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Timeline set."
P1143,District Vocational Education Reform 45,Early Childhood,Rajasthan,2020,Urban Students,Under Review,5.39,"EdTech Companies, Universities",0.295,"Policy to enhance teacher quality and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement.",Increase teacher quality score by 15% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance teacher quality and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Increase teacher quality score by 15% within 1 years and reduce disparities between rural and urban areas. Budget allocations defined. Stakeholder consultations planned."
P1144,District Primary Education Reform 98,Secondary,Punjab,2021,Rural Students,Implemented,8.55,"Teachers' Unions, Community Leaders",0.818,This policy aims to improve vocational skills in Secondary by providing digital device distribution across Punjab. It focuses on STEM education.,"Train 2930 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Secondary by providing digital device distribution across Punjab. It focuses on STEM education. Goals: Train 2930 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1145,National Secondary Education Reform 78,Secondary,Karnataka,2023,Urban Students,Proposed,93.43,"State Education Department, Private Partners",0.818,This policy aims to improve teacher quality in Secondary by providing public-private partnerships across Karnataka. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Secondary by providing public-private partnerships across Karnataka. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity."
P1146,State Vocational Education Reform 76,Primary,Kerala,2019,Rural Students,Implemented,15.99,"Central Government, Donors",0.805,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to improve retention.,"Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to improve retention. Goals: Train 4653 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Includes evaluation."
P1147,National Primary Education Reform 90,Early Childhood,West Bengal,2024,Students,Implemented,93.68,"EdTech Companies, Universities",0.297,This policy aims to improve early childhood development in Early Childhood by providing grants to schools across West Bengal. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Early Childhood by providing grants to schools across West Bengal. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined."
P1148,State Primary Education Reform 34,Secondary,Uttar Pradesh,2016,Rural Students,Under Review,3.74,"Ministry of Education, Local NGOs",0.443,This policy aims to improve vocational skills in Secondary by providing curriculum reform across Uttar Pradesh. It focuses on gender equity.,"Train 4089 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Secondary by providing curriculum reform across Uttar Pradesh. It focuses on gender equity. Goals: Train 4089 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Includes evaluation."
P1149,National Vocational Education Reform 10,Primary,Delhi,2015,Rural Students,Under Review,0.83,"State Education Department, Private Partners",0.89,"Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and community participation using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 2818 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity."
P1150,National Higher Education Education Reform 27,Secondary,West Bengal,2023,Disadvantaged Groups,Under Review,43.79,"Ministry of Education, Local NGOs",0.144,A nationwide/state-level initiative to strengthen early childhood development through scholarship schemes. Targets Disadvantaged Groups and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through scholarship schemes. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Timeline set."
P1151,National Primary Education Reform 4,Secondary,Tamil Nadu,2025,Rural Students,Proposed,0.44,"Teachers' Unions, Community Leaders",0.799,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Rural Students and aims to boost employability.,Increase digital access score by 16% within 3 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Rural Students and aims to boost employability. Goals: Increase digital access score by 16% within 3 years and reduce disparities between rural and urban areas. Timeline set. Focus on equity.
P1152,State Vocational Education Reform 60,Higher Education,Uttar Pradesh,2019,Women,Proposed,16.28,"Ministry of Education, Local NGOs",0.176,"Policy to enhance teacher quality and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Stakeholder consultations planned."
P1153,National Vocational Education Reform 39,Primary,West Bengal,2015,Women,Implemented,4.77,"Central Government, Donors",0.254,"Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.",Increase infrastructure score by 10% within 4 years and reduce disparities between rural and urban areas.,"Policy to enhance infrastructure and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Increase infrastructure score by 10% within 4 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Budget allocations defined."
P1154,State Primary Education Reform 12,Vocational,Rajasthan,2021,Women,Under Review,61.58,"Ministry of Education, Local NGOs",0.8,This policy aims to improve early childhood development in Vocational by providing scholarship schemes across Rajasthan. It focuses on STEM education.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Vocational by providing scholarship schemes across Rajasthan. It focuses on STEM education. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined."
P1155,District Higher Education Education Reform 53,Higher Education,West Bengal,2025,Urban Students,Pilot,1.27,"Central Government, Donors",0.228,"Policy to enhance early childhood development and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 367 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined."
P1156,National Higher Education Education Reform 39,Higher Education,Delhi,2022,All,Proposed,7.02,"Central Government, Donors",0.789,"Policy to enhance teacher quality and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and safety standards using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 781 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Budget allocations defined."
P1157,National Early Childhood Education Reform 21,Primary,Delhi,2023,Urban Students,Implemented,1.28,"State Education Department, Private Partners",0.845,"Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1158,National Higher Education Education Reform 63,Early Childhood,Gujarat,2017,All,Pilot,47.54,"Teachers' Unions, Community Leaders",0.767,This policy aims to improve vocational skills in Early Childhood by providing grants to schools across Gujarat. It focuses on rural accessibility.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Early Childhood by providing grants to schools across Gujarat. It focuses on rural accessibility. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation."
P1159,State Vocational Education Reform 66,Primary,Karnataka,2022,Teachers,Implemented,1.51,"EdTech Companies, Universities",0.817,This policy aims to improve teacher quality in Primary by providing public-private partnerships across Karnataka. It focuses on literacy and numeracy.,"Train 3521 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve teacher quality in Primary by providing public-private partnerships across Karnataka. It focuses on literacy and numeracy. Goals: Train 3521 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Stakeholder consultations planned."
P1160,District Vocational Education Reform 75,Primary,Karnataka,2023,Disadvantaged Groups,Under Review,43.88,"Ministry of Education, Local NGOs",0.529,"Policy to enhance teacher quality and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.",Increase teacher quality score by 24% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance teacher quality and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Increase teacher quality score by 24% within 2 years and reduce disparities between rural and urban areas. Focus on equity. Stakeholder consultations planned."
P1161,State Higher Education Education Reform 88,Secondary,Karnataka,2025,Urban Students,Under Review,92.55,"Central Government, Donors",0.446,"Policy to enhance learning outcomes and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Train 2861 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Train 2861 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Stakeholder consultations planned."
P1162,National Higher Education Education Reform 13,Vocational,Tamil Nadu,2019,Disadvantaged Groups,Implemented,72.35,"State Education Department, Private Partners",0.416,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to raise completion rates.,Increase vocational skills score by 23% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Increase vocational skills score by 23% within 4 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Stakeholder consultations planned.
P1163,District Primary Education Reform 61,Secondary,Rajasthan,2016,All,Pilot,53.05,"State Education Department, Private Partners",0.222,A nationwide/state-level initiative to strengthen infrastructure through digital device distribution. Targets All and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through digital device distribution. Targets All and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined."
P1164,District Primary Education Reform 1,Vocational,Delhi,2018,All,Implemented,12.34,"Ministry of Education, Local NGOs",0.215,"Policy to enhance digital access and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.",Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance digital access and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. Budget allocations defined. Focus on equity."
P1165,State Early Childhood Education Reform 25,Primary,Karnataka,2025,Disadvantaged Groups,Implemented,15.4,"Teachers' Unions, Community Leaders",0.378,A nationwide/state-level initiative to strengthen learning outcomes through curriculum reform. Targets Disadvantaged Groups and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through curriculum reform. Targets Disadvantaged Groups and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Stakeholder consultations planned."
P1166,District Higher Education Education Reform 56,Secondary,Kerala,2022,Rural Students,Implemented,19.22,"Central Government, Donors",0.117,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Rural Students and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Rural Students and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Stakeholder consultations planned."
P1167,District Primary Education Reform 77,Primary,Maharashtra,2025,All,Proposed,3.6,"Central Government, Donors",0.495,"Policy to enhance learning outcomes and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas.,"Policy to enhance learning outcomes and safety standards using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase learning outcomes score by 5% within 3 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Budget allocations defined."
P1168,District Early Childhood Education Reform 90,Secondary,West Bengal,2016,Women,Proposed,29.12,"Ministry of Education, Local NGOs",0.543,"Policy to enhance early childhood development and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.","Train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Train 2982 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Timeline set."
P1169,State Secondary Education Reform 1,Primary,Maharashtra,2016,All,Pilot,19.24,"EdTech Companies, Universities",0.167,This policy aims to improve vocational skills in Primary by providing grants to schools across Maharashtra. It focuses on rural accessibility.,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Primary by providing grants to schools across Maharashtra. It focuses on rural accessibility. Goals: Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.
P1170,State Higher Education Education Reform 55,Primary,Maharashtra,2015,Students,Implemented,9.93,"Central Government, Donors",0.95,A nationwide/state-level initiative to strengthen teacher quality through public-private partnerships. Targets Students and aims to boost employability.,"Train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen teacher quality through public-private partnerships. Targets Students and aims to boost employability. Goals: Train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Timeline set. Timeline set."
P1171,State Secondary Education Reform 15,Secondary,Karnataka,2017,Students,Pilot,0.42,"Central Government, Donors",0.261,A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Students and aims to boost employability.,Increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Students and aims to boost employability. Goals: Increase digital access score by 36% within 1 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.
P1172,District Higher Education Education Reform 2,Early Childhood,Punjab,2024,Teachers,Under Review,2.45,"State Education Department, Private Partners",0.529,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Teachers and aims to boost employability.,Increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Teachers and aims to boost employability. Goals: Increase vocational skills score by 5% within 2 years and reduce disparities between rural and urban areas. Focus on equity. Timeline set.
P1173,State Secondary Education Reform 43,Higher Education,Karnataka,2023,Teachers,Pilot,0.43,"Ministry of Education, Local NGOs",0.509,This policy aims to improve early childhood development in Higher Education by providing curriculum reform across Karnataka. It focuses on marginalized communities.,"Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve early childhood development in Higher Education by providing curriculum reform across Karnataka. It focuses on marginalized communities. Goals: Train 3712 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Timeline set. Focus on equity."
P1174,District Early Childhood Education Reform 1,Primary,Punjab,2024,Disadvantaged Groups,Under Review,14.82,"Central Government, Donors",0.946,This policy aims to improve teacher quality in Primary by providing grants to schools across Punjab. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Primary by providing grants to schools across Punjab. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Focus on equity."
P1175,State Higher Education Education Reform 82,Higher Education,Rajasthan,2023,Rural Students,Proposed,4.54,"Central Government, Donors",0.225,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Rural Students and aims to raise completion rates.,Increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through public-private partnerships. Targets Rural Students and aims to raise completion rates. Goals: Increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas. Timeline set. Includes evaluation.
P1176,District Higher Education Education Reform 14,Vocational,Karnataka,2025,All,Proposed,0.28,"EdTech Companies, Universities",0.951,"Policy to enhance infrastructure and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance infrastructure and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation."
P1177,National Vocational Education Reform 85,Early Childhood,Punjab,2020,Women,Pilot,0.49,"State Education Department, Private Partners",0.344,"Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation."
P1178,National Secondary Education Reform 80,Higher Education,Kerala,2025,Teachers,Implemented,76.83,"Teachers' Unions, Community Leaders",0.6,This policy aims to improve early childhood development in Higher Education by providing scholarship schemes across Kerala. It focuses on literacy and numeracy.,"Train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve early childhood development in Higher Education by providing scholarship schemes across Kerala. It focuses on literacy and numeracy. Goals: Train 4423 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity."
P1179,District Primary Education Reform 26,Higher Education,Tamil Nadu,2019,Disadvantaged Groups,Under Review,17.59,"Teachers' Unions, Community Leaders",0.282,"Policy to enhance early childhood development and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance early childhood development and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity."
P1180,State Vocational Education Reform 54,Higher Education,Rajasthan,2015,Students,Under Review,14.31,"Central Government, Donors",0.839,This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Rajasthan. It focuses on literacy and numeracy.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Higher Education by providing public-private partnerships across Rajasthan. It focuses on literacy and numeracy. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Includes evaluation."
P1181,National Early Childhood Education Reform 16,Vocational,Karnataka,2021,Rural Students,Under Review,7.41,"Teachers' Unions, Community Leaders",0.105,A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through public-private partnerships. Targets Rural Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Budget allocations defined."
